NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
HONDURAS,15397.9,TEQUILA 100% DE AGAVE,12819.94,REPOSADO,8834.74,2010,4
AUSTRIA,10804.35,TEQUILA 100% DE AGAVE,8.55,EXTRA AÑEJO,8.55,2014,9
SEYCHELLES,11003.85,TEQUILA 100% DE AGAVE,513.0,REPOSADO,513.0,2013,11
TAIWAN,11691.56,TEQUILA,10710.0,REPOSADO,8550.0,2024,4
LITUANIA,5793.31,TEQUILA 100% DE AGAVE,2.11,BLANCO,1.36,2019,11
ARGENTINA,8.4,TEQUILA 100% DE AGAVE,8.4,BLANCO,2.8,2012,3
HUNGRIA,5928.0,TEQUILA 100% DE AGAVE,5928.0,BLANCO,4742.4,2018,8
PUERTO RICO,43632.0,TEQUILA 100% DE AGAVE,10800.0,REPOSADO,3150.0,2016,3
HONG KONG,14664.41,TEQUILA 100% DE AGAVE,556.5,BLANCO,102.0,2006,11
EL SALVADOR,1665.0,TEQUILA 100% DE AGAVE,1665.0,REPOSADO,855.0,2020,12
RUSIA,180126.36,TEQUILA,131754.36,REPOSADO,5745.6,2012,5
FINLANDIA,3486.0,TEQUILA,2872.8,BLANCO,2513.7,2015,9
MEXICO,19734.66,TEQUILA 100% DE AGAVE,12940.44,BLANCO,1133.99,1999,2
URUGUAY,20005.36,TEQUILA 100% DE AGAVE,2486.86,REPOSADO,2486.86,2018,11
CHILE,19800.0,TEQUILA,19800.0,REPOSADO,14400.0,2001,9
RUSIA,89878.68,TEQUILA,86742.4,BLANCO,69253.85,2009,11
ALEMANIA,555702.98,TEQUILA,554113.35,REPOSADO,25171.2,2007,1
TAIWAN,19998.0,TEQUILA,19998.0,JOVEN,19998.0,1997,3
FRANCIA,272869.45,TEQUILA,272848.07,REPOSADO,18001.27,2001,10
AUSTRALIA,65514.96,TEQUILA 100% DE AGAVE,63519.96,BLANCO,46706.98,2019,7
EMIRATOS ARABES UNIDOS,83012.88,TEQUILA 100% DE AGAVE,16989.48,AÑEJO,2094.12,2022,3
